country,vaccines,people_fully_vaccinated,people_vaccinated,total_vaccinations
Afghanistan,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",4420127.0,5082824.0,5751015.0
Albania,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",1215199.0,1278902.0,2754244.0
Algeria,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",6110712.0,7461932.0,13704895.0
Andorra,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",53367.0,57817.0,151997.0
Angola,Oxford/AstraZeneca,5993792.0,11235059.0,17535411.0
Anguilla,"Oxford/AstraZeneca, Pfizer/BioNTech",9624.0,10572.0,22714.0
Antigua and Barbuda,"Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V",61550.0,63836.0,125386.0
Argentina,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",36924451.0,40907186.0,96504666.0
Armenia,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",948778.0,1113472.0,2088962.0
Aruba,Pfizer/BioNTech,81347.0,87884.0,169231.0
Australia,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",21200432.0,22202366.0,56242913.0
Austria,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech",6588761.0,6812569.0,18131115.0
Azerbaijan,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",4821276.0,5322427.0,13425032.0
Bahamas,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech",156089.0,164961.0,334155.0
Bahrain,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik Light, Sputnik V",1216033.0,1232740.0,3421273.0
Bangladesh,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",107712737.0,127544055.0,243642749.0
Barbados,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",151069.0,161076.0,312145.0
Belarus,"Sinopharm/Beijing, Sputnik V",5565214.0,5801653.0,11634483.0
Belgium,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",9126319.0,9230428.0,25235826.0
Belize,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",209156.0,236015.0,467251.0
Benin,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",2430934.0,2955274.0,3333450.0
Bermuda,"Oxford/AstraZeneca, Pfizer/BioNTech",46699.0,48196.0,127090.0
Bhutan,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",579640.0,687549.0,1787937.0
Bolivia,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",5747856.0,7043449.0,12972370.0
Bonaire Sint Eustatius and Saba,"Moderna, Pfizer/BioNTech",16736.0,19109.0,35845.0
Bosnia and Herzegovina,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",846080.0,943394.0,1924950.0
Botswana,"Covaxin, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",1292541.0,1454775.0,2517260.0
Brazil,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",160272858.0,181078067.0,413559595.0
British Virgin Islands,"Johnson&Johnson, Oxford/AstraZeneca",17646.0,19165.0,40537.0
Brunei,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",404935.0,407945.0,1068468.0
Bulgaria,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2049909.0,2081276.0,4348404.0
Burkina Faso,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",1188545.0,2131880.0,2369487.0
Burundi,Sinopharm/Beijing,9906.0,10372.0,12166.0
